rank,mpnn_score,tm_score,p65_prob,solubility,usability,pHopt,tm_norm,p65_norm,sol_norm,mpnn_norm,use_norm,composite
9,0.729,0.9939,0.9619,0.9092,0.4819,6.993143,0.9666955017301041,0.9631254446288832,0.9077155824508322,0.6956521739130435,0.5008138903960933,0.8434682627262837
90,0.75,0.98886,0.905,0.9078,0.6659,6.716007,0.8576989619377154,0.8956604221010198,0.8971255673222395,0.2391304347826087,1.0,0.803634524691523
78,0.749,0.99429,0.9731,0.892,0.58,6.8617973,0.9751297577854674,0.9764050272705714,0.7776096822995463,0.2608695652173913,0.7669560499186108,0.7975794749943194
4,0.725,0.98381,0.941,0.8983,0.4783,6.917722,0.7484861591695493,0.9383447948778753,0.8252647503782148,0.782608695652174,0.49104720564297333,0.7778090737817712
44,0.745,0.98926,0.9371,0.909,0.5216,6.499778,0.8663494809688588,0.9337206544937161,0.9062027231467475,0.34782608695652173,0.60851871947911,0.774709799460338
110,0.753,0.99203,0.9065,0.919,0.5223,7.1180882,0.926254325259515,0.8974389376333887,0.9818456883509836,0.17391304347826086,0.6104177970699944,0.769942079475661
65,0.748,0.99166,0.9717,0.903,0.4912,7.332272,0.9182525951557091,0.9747450794403606,0.8608169440242059,0.2826086956521739,0.5260444926749864,0.7667107857029327
3,0.725,0.98788,0.9668,0.874,0.4504,6.8924303,0.8365051903114182,0.9689352620346218,0.6414523449319213,0.782608695652174,0.4153553988062941,0.7593451962416645
109,0.753,0.9928,0.8772,0.9166,0.5119,7.1208797,0.9429065743944641,0.8626986009011146,0.9636913767019665,0.17391304347826086,0.5822029300054259,0.757556965186841
55,0.746,0.99246,0.9448,0.8987,0.4443,6.910774,0.9355536332179933,0.9428503675598766,0.8282904689863847,0.32608695652173914,0.39880629408572965,0.7439930815828647
10,0.733,0.99132,0.9725,0.8739,0.4214,6.974286,0.9108996539792383,0.9756936210576239,0.640695915279879,0.6086956521739131,0.33667932718393917,0.7415937487188692
116,0.753,0.9928,0.9315,0.9,0.4875,6.7922773,0.9429065743944641,0.9270808631728719,0.8381240544629351,0.17391304347826086,0.5160065111231686,0.7386096034746354
149,0.757,0.99064,0.9431,0.9127,0.4855,6.684865,0.8961937716262969,0.9408347166231921,0.9341906202723144,0.08695652173913043,0.5105805751492132,0.7357258106500867
16,0.736,0.97909,0.9594,0.9032,0.4845,6.8194733,0.6464100346020762,0.960161252074935,0.8623298033282905,0.5434782608695652,0.5078676071622353,0.731810662539681
15,0.736,0.97952,0.9045,0.9119,0.4797,6.7225275,0.6557093425605522,0.89506758359023,0.9281391830559761,0.5434782608695652,0.49484536082474223,0.7290706114030369
2,0.723,0.98856,0.8412,0.8835,0.3982,6.8383346,0.8512110726643598,0.8200142281242591,0.7133131618759452,0.8260869565217391,0.27373846988605527,0.7254427715335128
92,0.751,0.99187,0.9865,0.8925,0.4357,6.8499117,0.9227941176470595,0.9922930993597344,0.7813918305597576,0.21739130434782608,0.37547476939772095,0.7239800814254822
6,0.726,0.98518,0.9108,0.8694,0.4588,6.679286,0.7781141868512098,0.90253734882618,0.6066565809379724,0.7608695652173914,0.4381443298969071,0.7213462843740868
118,0.753,0.99539,0.9344,0.8871,0.4531,6.7988963,0.9989186851211074,0.9305193265354518,0.7405446293494705,0.17391304347826086,0.42268041237113396,0.719957447161443
57,0.746,0.98455,0.9792,0.8994,0.457,6.7790146,0.7644896193771633,0.9836376571022053,0.8335854765506806,0.32608695652173914,0.43326098752034725,0.7176511060362912
7,0.728,0.98213,0.7453,0.9119,0.4678,7.057021,0.712153979238753,0.7063078017548019,0.9281391830559761,0.717391304347826,0.4625610417797069,0.7172361337787139
93,0.751,0.9902,0.6559,0.9107,0.6126,6.6224794,0.886678200692041,0.6003082760256107,0.9190620272314671,0.21739130434782608,0.8553988062940857,0.716477541221993
1,0.715,0.98366,0.6153,0.9095,0.4414,6.7446737,0.7452422145328714,0.5521697889494901,0.9099848714069589,1.0,0.39093868692349426,0.7149907781905064
74,0.749,0.99131,0.8099,0.9096,0.4645,7.1564903,0.9106833910034609,0.7829025373488261,0.9107413010590013,0.2608695652173913,0.4536082474226804,0.7127164141958827
5,0.726,0.98799,0.6452,0.9039,0.4589,7.2716312,0.8388840830449834,0.5876215318947119,0.8676248108925873,0.7608695652173914,0.43841562669560485,0.7100441447003907
123,0.754,0.99175,0.9431,0.895,0.4484,6.628168,0.9201989619377168,0.9408347166231921,0.8003025718608171,0.15217391304347827,0.40992946283233855,0.7096344403937631
34,0.743,0.99099,0.8833,0.885,0.4462,6.786003,0.9037629757785476,0.8699312307327485,0.724659606656581,0.391304347826087,0.4039609332609874,0.7076452651222014
82,0.75,0.98663,0.8534,0.9035,0.5087,7.140418,0.8094723183391005,0.8344794877875267,0.8645990922844173,0.2391304347826087,0.5735214324470972,0.7058055500729961
39,0.744,0.98633,0.702,0.913,0.5364,7.3805885,0.8029844290657447,0.6549679867204174,0.936459909228442,0.3695652173913043,0.6486706456863808,0.7045154652538816
73,0.749,0.98771,0.9426,0.8838,0.4897,7.081087,0.8328287197231828,0.9402418781124022,0.7155824508320728,0.2608695652173913,0.5219750406945198,0.7038108305120976
32,0.742,0.98965,0.9607,0.8799,0.4066,6.9948845,0.8747837370242222,0.9617026322029879,0.6860816944024207,0.41304347826086957,0.29652740097666846,0.7027735630729174
98,0.752,0.98855,0.9028,0.8967,0.4799,7.040118,0.8509948096885822,0.8930519326535453,0.8131618759455375,0.1956521739130435,0.49538795442213773,0.7023000800249166
11,0.733,0.98304,0.8534,0.8931,0.448,7.1908445,0.7318339100346025,0.8344794877875267,0.7859304084720121,0.6086956521739131,0.40884427563754744,0.7013954203216538
14,0.735,0.98054,0.9653,0.8873,0.4339,7.1383266,0.6777681660899645,0.967156746502253,0.742057488653555,0.5652173913043478,0.3705914270211611,0.7000140486275916
135,0.755,0.99065,0.9334,0.8939,0.4576,7.039526,0.8964100346020768,0.9293336495138725,0.7919818456883512,0.13043478260869565,0.43488876831253387,0.699630822804842
53,0.746,0.98933,0.9469,0.8735,0.4629,7.116985,0.8678633217993089,0.9453402893051932,0.6376701966717099,0.32608695652173914,0.4492674986435159,0.6971381103852557
143,0.756,0.99077,0.9762,0.8931,0.4296,6.8970037,0.8990051903114196,0.9800806260374675,0.7859304084720121,0.10869565217391304,0.3589256646771567,0.6971007333092846
115,0.753,0.98368,0.9618,0.896,0.4992,6.7481766,0.7456747404844289,0.9630068769267253,0.8078668683812407,0.17391304347826086,0.5477482365708083,0.696992970036397
56,0.746,0.99176,0.7859,0.8975,0.4566,7.2744484,0.9204152249134944,0.7544462888309226,0.8192133131618757,0.32608695652173914,0.4321758003255561,0.6962974545955737
